,trainingid,firstname,lastname,ssn,sex,dob,race,ethnicity
103,cef7fdce-8ad9-11e8-a1c7-0242ac110003,Rita,,158-03-5778,F,1982-11-06,whige,
104,ce5be146-8ad9-11e8-a1c7-0242ac110003,Michael,Elliott,104-43-9232,M,,,
105,ce3b6a24-8ad9-11e8-a1c7-0242ac110003,Laura,Herbst,,F,,asian,
106,cf0f8746-8ad9-11e8-a1c7-0242ac110003,,Green,,,,other,
107,ceee28bc-8ad9-11e8-a1c7-0242ac110003,Bobby,Vaughan,,,,other,donotdisclose
108,ce6f030c-8ad9-11e8-a1c7-0242ac110003,Petxr,Cambre,888-73-1805,F,,white,donotdisclose
109,ce72cbc2-8ad9-11e8-a1c7-0242ac110003,Nannie,Ragusano,774-62-4628,,,other,
110,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Rick,Sorensen,,M,1997-01-26,white,donotdisclose
111,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Ricky,Sorensen,165-87-4467,M,1997-01-26,,
112,ced97d40-8ad9-11e8-a1c7-0242ac110003,Eduardo,Hardebeck,625-30-5678,,1999-12-12,,
113,cf72f36c-8ad9-11e8-a1c7-0242ac110003,Gregory,Beacom,,,1938-11-22,,nonhispanic
114,cd85937a-8ad9-11e8-a1c7-0242ac110003,Waltraud,Mullins,321-67-2525,,1970-10-07,white,
115,ce6af514-8ad9-11e8-a1c7-0242ac110003,Shante,Albright,,F,,black,
116,cf500e9c-8ad9-11e8-a1c7-0242ac110003,Basil,Reiley,,,,,donotdisclose
117,ce581b10-8ad9-11e8-a1c7-0242ac110003,Joshua,Walters,812-41-2258,,1921-12-24,,hispanic
118,cdaa8978-8ad9-11e8-a1c7-0242ac110003,Becca,Munoz,,M,1922-01-15,asian,hispanic
119,cf0f8746-8ad9-11e8-a1c7-0242ac110003,George,Green,,,2004-06-29,other,donotdisclose
120,cf151c88-8ad9-11e8-a1c7-0242ac110003,Wendy,Boggs,,M,,,hispanic
121,cd8e69c8-8ad9-11e8-a1c7-0242ac110003,Grant,Adkins,126-00-0571,F,1983-02-24,,
122,cf864778-8ad9-11e8-a1c7-0242ac110003,Ethan,Welter,,,,,
123,cdaa8978-8ad9-11e8-a1c7-0242ac110003,Rebecca,Munoz,,,1922-01-15,,
124,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,Townsend,063-77-6244,M,,,nonhispanic
125,cec82158-8ad9-11e8-a1c7-0242ac110003,Jasoi,Boden,584-05-3440,,,white,
126,cd6ac798-8ad9-11e8-a1c7-0242ac110003,Tony,Chalfant,,M,1980-07-23,,hispanic
127,cf864778-8ad9-11e8-a1c7-0242ac110003,Ethan,Welter,000-32-0880,M,,,hispanic
128,cdc22e48-8ad9-11e8-a1c7-0242ac110003,Yolanda,Tunstall,565-85-2758,,,asian,
129,ce84f7ac-8ad9-11e8-a1c7-0242ac110003,Seth,,448-72-1718,,,white,
130,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,Toqnsend,,,1977-07-23,white,
131,ce29762a-8ad9-11e8-a1c7-0242ac110003,Joshua,Fernandez,,,,,nonhispanic
132,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Rixky,Ieissner,,,,white,
133,ce17b732-8ad9-11e8-a1c7-0242ac110003,Donald,Kilman,343-77-7872,,2003-04-20,white,hispanic
134,cd73e670-8ad9-11e8-a1c7-0242ac110003,Kebny,Keogh,,F,,white,
135,cf689b2e-8ad9-11e8-a1c7-0242ac110003,Nami,Reed,645-64-5683,F,1992-05-31,,
136,ced97d40-8ad9-11e8-a1c7-0242ac110003,Eduardo,Harvebeck,,F,,,
137,cf2334d0-8ad9-11e8-a1c7-0242ac110003,Ann,Gibson,323-10-6330,F,,white,
138,ce8d880e-8ad9-11e8-a1c7-0242ac110003,Natran,Townsend,063-77-6244,,,,hispanic
139,cde25de4-8ad9-11e8-a1c7-0242ac110003,Lawrence,Corcoran,,M,,,hispanic
140,cefc8ea2-8ad9-11e8-a1c7-0242ac110003,Robert,Vann,,,1959-04-29,other,
141,cdba6ca8-8ad9-11e8-a1c7-0242ac110003,Randall,Mulcamy,380-20-6432,,1967-10-25,,nonhispanic
142,ce816588-8ad9-11e8-a1c7-0242ac110003,,Baker,383-75-7058,,1946-02-28,white,nonhispanic
143,ce9c53b6-8ad9-11e8-a1c7-0242ac110003,Kayla,Sherman,,,1969-04-16,,
144,cd7c0f08-8ad9-11e8-a1c7-0242ac110003,David,,513-86-4005,,1964-06-17,white,nonhispanic
145,cf2334d0-8ad9-11e8-a1c7-0242ac110003,Ann,Cibson,,F,1968-03-17,white,
146,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Ricardo,Sorensen,165-87-4467,,,white,
147,cf3d72d2-8ad9-11e8-a1c7-0242ac110003,Brenda,Winston,386-71-2424,,,white,
148,cdc93e40-8ad9-11e8-a1c7-0242ac110003,Elizabeth,Howard,718-65-2128,F,,other,nonhispanic
149,ce784020-8ad9-11e8-a1c7-0242ac110003,Aurora,Young,,M,,other,hispanic
150,cf48856e-8ad9-11e8-a1c7-0242ac110003,Fermin,Mkrris,,,,,
151,cf689b2e-8ad9-11e8-a1c7-0242ac110003,Tami,Reed,645-64-5683,,,,hispanic
152,cefc8ea2-8ad9-11e8-a1c7-0242ac110003,Robert,Vann,657-87-8513,F,,other,donotdisclose
153,cde25de4-8ad9-11e8-a1c7-0242ac110003,Lawrence,Corcoran,713-44-1253,M,,,
154,ced1652e-8ad9-11e8-a1c7-0242ac110003,Mary,Mcrae,412-01-2637,,1932-09-21,,hispanic
155,cdee26ba-8ad9-11e8-a1c7-0242ac110003,William,Roeder,622-88-7048,F,,black,nonhispanic
156,cf72f36c-8ad9-11e8-a1c7-0242ac110003,Gregory,Beacom,,,,,nonhispanic
157,ce3b6a24-8ad9-11e8-a1c7-0242ac110003,Laura,Herbst,256-36-1375,F,,asian,donotdisclose
158,cda3ce1c-8ad9-11e8-a1c7-0242ac110003,Shirley,Mathey,,,,white,
159,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Ricardo,Sorensen,,,,white,donotdisclose
160,cf689b2e-8ad9-11e8-a1c7-0242ac110003,Tami,Reed,645-64-5683,,1992-05-31,,nonhispanic
161,cddb3230-8ad9-11e8-a1c7-0242ac110003,Lois,Wolf,,,,,donotdisclose
162,cefc8ea2-8ad9-11e8-a1c7-0242ac110003,,Vann,,,1959-04-29,,donotdisclose
163,cd73e670-8ad9-11e8-a1c7-0242ac110003,Kenneth,Keogh,,,,white,hispanic
164,cee6731a-8ad9-11e8-a1c7-0242ac110003,Tiffatv,Richardson,,F,,white,
165,cef7fdce-8ad9-11e8-a1c7-0242ac110003,Rita,Wolf,,,1982-11-06,white,
166,cdee26ba-8ad9-11e8-a1c7-0242ac110003,Bell,Roeder,,,,,nonhispanic
167,ceee28bc-8ad9-11e8-a1c7-0242ac110003,Bobyy,Vaughan,805-86-3540,,1959-08-05,,donotdisclose
168,cd73e670-8ad9-11e8-a1c7-0242ac110003,,Keogh,,F,,,hispanic
169,cdd652b0-8ad9-11e8-a1c7-0242ac110003,Alfred,Albritton,666-41-8271,,,other,
170,cf4333ca-8ad9-11e8-a1c7-0242ac110003,Leigh,Goldman,,F,,white,donotdisclose
171,ce4ba038-8ad9-11e8-a1c7-0242ac110003,John,Burgoyne,,F,1955-06-30,other,donotdisclose
172,ce02f2ca-8ad9-11e8-a1c7-0242ac110003,Maile,Daugherty,073-12-4537,M,1956-01-20,other,
173,cdb1f9a6-8ad9-11e8-a1c7-0242ac110003,Scarlet,Cooley,230-56-8827,,,other,
174,ce17b732-8ad9-11e8-a1c7-0242ac110003,Donald,Kilman,,,,,
175,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Eric,Meifsner,244-35-0641,M,1998-02-05,white,
176,cf689b2e-8ad9-11e8-a1c7-0242ac110003,Tami,Reed,645-64-5683,,,,
177,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,Townsend,,,1977-07-23,,
178,cee6731a-8ad9-11e8-a1c7-0242ac110003,Tiffany,Richardson,010-72-6850,F,1979-04-20,white,
179,ce0b02b2-8ad9-11e8-a1c7-0242ac110003,Thomas,Guttirez,713-14-5764,M,,white,donotdisclose
180,cda3ce1c-8ad9-11e8-a1c7-0242ac110003,Shirley,Mathey,575-72-8543,F,,white,hispanic
181,cf72f36c-8ad9-11e8-a1c7-0242ac110003,,Beacom,158-15-8181,,,,nonhispanic
182,cf0995d4-8ad9-11e8-a1c7-0242ac110003,Billy,Khncade,,,1967-12-19,white,
183,cf4333ca-8ad9-11e8-a1c7-0242ac110003,Leigh,,,,1956-01-03,white,donotdisclose
184,ce29762a-8ad9-11e8-a1c7-0242ac110003,Joshua,Fernandea,,M,1986-08-21,white,
185,cdaa8978-8ad9-11e8-a1c7-0242ac110003,,Munoz,,,,,
186,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Ricardo,Sorensen,165-87-4467,,,,donotdisclose
187,cdd652b0-8ad9-11e8-a1c7-0242ac110003,Alfred,Albritton,,,1964-05-18,other,
188,ce89e514-8ad9-11e8-a1c7-0242ac110003,Jaime,Sfrivtr,544-12-1053,M,1947-12-13,,donotdisclose
189,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Rick,Meissner,244-35-0641,M,1998-02-05,white,donotdisclose
190,cdba6ca8-8ad9-11e8-a1c7-0242ac110003,Randall,Mulcahy,,M,1967-10-25,,
191,cf96580c-8ad9-11e8-a1c7-0242ac110003,Nathan,,,,1981-02-16,,
192,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,000-42-4577,M,,,
193,ce4361a2-8ad9-11e8-a1c7-0242ac110003,Ricky,Johnson,008-36-0661,M,1978-02-02,,
194,cec82158-8ad9-11e8-a1c7-0242ac110003,Jason,,584-05-7440,,1992-06-16,white,hispanic
195,cdd10026-8ad9-11e8-a1c7-0242ac110003,Dorothy,Barbieri,728-67-6723,F,1980-04-22,,hispanic
196,ce784020-8ad9-11e8-a1c7-0242ac110003,Aurora,Young,813-20-8170,,1948-01-20,,hispanic
197,cf4333ca-8ad9-11e8-a1c7-0242ac110003,Meigh,Goudman,671-04-8580,F,1956-01-03,white,donotdisclose
198,ce5be146-8ad9-11e8-a1c7-0242ac110003,Michaal,Ellkott,,,1977-08-15,,nonhispanic
199,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,,,,white,
200,cd73e670-8ad9-11e8-a1c7-0242ac110003,Kenneth,Keogh,321-53-5547,,,white,
201,ce784020-8ad9-11e8-a1c7-0242ac110003,Aurora,Young,813-20-8170,M,1948-01-20,,
202,cf3d72d2-8ad9-11e8-a1c7-0242ac110003,Brenda,Winston,386-71-2424,,,white,nonhispanic
203,ce50b0dc-8ad9-11e8-a1c7-0242ac110003,Richard,Lewis,,M,1948-04-17,,nonhispanic
204,ce581b10-8ad9-11e8-a1c7-0242ac110003,,Walters,,F,1921-12-24,black,hispanic
205,cec82158-8ad9-11e8-a1c7-0242ac110003,Jason,Boden,,M,1992-06-16,white,
206,cf931b7e-8ad9-11e8-a1c7-0242ac110003,Joe,Culpepper,,,,,nonhispanic
207,ce581b10-8ad9-11e8-a1c7-0242ac110003,Josh,Walters,812-41-2258,,1921-12-24,,nonhispanic
208,cd8e69c8-8ad9-11e8-a1c7-0242ac110003,Grant,Adkins,126-00-0571,,,,hispanic
209,cd7e18d4-8ad9-11e8-a1c7-0242ac110003,Bessie,Tetreault,,,,,
210,cebcc5d8-8ad9-11e8-a1c7-0242ac110003,Beth,Dunn,453-93-0674,M,,,donotdisclose
211,cd7e18d4-8ad9-11e8-a1c7-0242ac110003,Beth,Tetreault,,,,asian,
212,cebcc5d8-8ad9-11e8-a1c7-0242ac110003,Elizabeth,Dunn,453-63-0674,M,,bkack,donotdisclose
213,ced57038-8ad9-11e8-a1c7-0242ac110003,Linda,Whitfield,,,,,
214,ce5be146-8ad9-11e8-a1c7-0242ac110003,Michael,Elliott,104-43-8232,,,other,nonhispanic
215,cf48856e-8ad9-11e8-a1c7-0242ac110003,Fermin,Morcis,,,,,
216,cf5c608e-8ad9-11e8-a1c7-0242ac110003,Ward,Harris,,,,pacisland,hispanic
217,cf38d1f0-8ad9-11e8-a1c7-0242ac110003,Christina,Ursprung,,F,,,
218,cf72f36c-8ad9-11e8-a1c7-0242ac110003,Gregory,Beacom,158-15-8181,,,other,nonhispanic
219,cf931b7e-8ad9-11e8-a1c7-0242ac110003,Joseph,Cujpepper,367-78-8786,,,,nonhispanic
220,cf48856e-8ad9-11e8-a1c7-0242ac110003,Fermin,Morris,063-27-7831,F,2006-02-27,,
221,cdb5caea-8ad9-11e8-a1c7-0242ac110003,Eric,Howard,,M,1956-02-09,other,
222,cdee26ba-8ad9-11e8-a1c7-0242ac110003,William,Roeder,,M,,,nonhispanic
223,cdc93e40-8ad9-11e8-a1c7-0242ac110003,Beth,Howard,,,2004-01-12,,
224,cdee26ba-8ad9-11e8-a1c7-0242ac110003,Willian,Roeder,,M,2003-07-20,,
225,cf0995d4-8ad9-11e8-a1c7-0242ac110003,Fred,Kincade,563-25-2251,M,1967-12-19,white,
226,cd6ac798-8ad9-11e8-a1c7-0242ac110003,Anthony,Chalfant,732-87-3613,M,,white,
227,cddb3230-8ad9-11e8-a1c7-0242ac110003,Lois,Wolf,685-54-2376,,1954-05-09,,
228,cf500e9c-8ad9-11e8-a1c7-0242ac110003,Basil,Reiley,,F,,,
229,cd6ac798-8ad9-11e8-a1c7-0242ac110003,Anthony,Chalfant,732-87-3613,M,,asian,
230,cd8b09f4-8ad9-11e8-a1c7-0242ac110003,,Douglas,,,2008-08-26,white,
231,ce108246-8ad9-11e8-a1c7-0242ac110003,Araceli,Prottsman,,,,,
232,cf00f622-8ad9-11e8-a1c7-0242ac110003,Walter,Kennedy,,,2007-03-18,,nonhispanic
233,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,000-42-4577,F,,white,donotdisclose
234,ce668de4-8ad9-11e8-a1c7-0242ac110003,Ruth,West,,,,white,
235,ce581b10-8ad9-11e8-a1c7-0242ac110003,Joshua,Walters,812-41-2258,M,,,
236,ce1e4a66-8ad9-11e8-a1c7-0242ac110003,,Mlner,,,,other,donotdisclose
237,cd8e69c8-8ad9-11e8-a1c7-0242ac110003,Grant,Adkins,,F,,other,
238,ce50b0dc-8ad9-11e8-a1c7-0242ac110003,Richarq,Lewis,,,1948-11-17,white,nonhispanic
239,ce68404e-8ad9-11e8-a1c7-0242ac110003,Mick,Allen,006-27-2478,F,1988-06-28,,
240,cdd10026-8ad9-11e8-a1c7-0242ac110003,Dorothy,Barbieri,,,,,hispanic
241,ce5be146-8ad9-11e8-a1c7-0242ac110003,Michael,Elliott,,,1977-08-15,other,nonhispanic
242,ce50b0dc-8ad9-11e8-a1c7-0242ac110003,Richard,Lewis,654-82-6357,F,1948-11-17,whibe,
243,ce6f030c-8ad9-11e8-a1c7-0242ac110003,Pat,Cambre,888-73-1605,F,1943-02-02,,hispanic
244,cd6ac798-8ad9-11e8-a1c7-0242ac110003,Anthony,Chalfant,,M,,white,
245,ced97d40-8ad9-11e8-a1c7-0242ac110003,Ed,Hardebeck,,F,,black,
246,cef7fdce-8ad9-11e8-a1c7-0242ac110003,Rita,Wolf,,,,white,
247,cf8feed6-8ad9-11e8-a1c7-0242ac110003,George,,175-23-3157,M,1933-07-12,other,donotdisclose
248,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Ricardo,Sorensen,165-87-4467,M,1997-01-26,,donotdisclose
249,cebcc5d8-8ad9-11e8-a1c7-0242ac110003,Elizabeth,,453-63-0674,,1966-08-21,black,
250,cdd10026-8ad9-11e8-a1c7-0242ac110003,Dolly,Barbieri,728-67-6723,,1980-04-22,,
251,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,Townsend,063-77-6244,M,1977-07-23,,hispanic
252,cf0995d4-8ad9-11e8-a1c7-0242ac110003,Fred,Kincade,563-25-2551,,,white,hispanic
253,cf2334d0-8ad9-11e8-a1c7-0242ac110003,,Gibson,,,,white,donotdisclose
254,ce1e4a66-8ad9-11e8-a1c7-0242ac110003,Tara,Miner,,M,1973-08-13,,donotdisclose
255,cd921780-8ad9-11e8-a1c7-0242ac110003,Mick,Gillespie,,F,,black,nonhispanic
256,cf96580c-8ad9-11e8-a1c7-0242ac110003,Nathan,Harvey,,F,,blqck,donotdisclose
257,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,000-42-4577,F,,white,
258,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,Townsend,063-77-6244,,1977-07-23,white,hispanic
